iter	Passed	Remaining
879	8098	1104
880	8107	1095
881	8116	1085
882	8125	1076
883	8134	1067
884	8143	1058
885	8152	1048
886	8161	1039
887	8169	1030
888	8178	1021
889	8187	1011
890	8196	1002
891	8205	993
892	8214	984
893	8223	975
894	8232	965
895	8241	956
896	8250	947
897	8259	938
898	8268	928
899	8277	919
900	8286	910
901	8295	901
902	8304	892
903	8313	882
904	8322	873
905	8331	864
906	8339	855
907	8348	845
908	8357	836
909	8366	827
910	8375	818
911	8384	809
912	8393	799
913	8402	790
914	8411	781
915	8419	772
916	8428	762
917	8437	753
918	8446	744
919	8455	735
920	8464	726
921	8473	716
922	8482	707
923	8490	698
924	8500	689
925	8509	680
926	8518	670
927	8527	661
928	8536	652
929	8545	643
930	8560	634
931	8569	625
932	8578	616
933	8586	606
934	8595	597
935	8604	588
936	8613	579
937	8622	569
938	8631	560
939	8640	551
940	8649	542
941	8658	533
942	8667	523
943	8676	514
944	8685	505
945	8694	496
946	8703	487
947	8712	477
948	8721	468
949	8730	459
950	8738	450
951	8748	441
952	8757	431
953	8766	422
954	8774	413
955	8783	404
956	8792	395
957	8801	385
958	8810	376
959	8819	367
960	8828	358
961	8837	349
962	8846	339
963	8855	330
964	8864	321
965	8873	312
966	8882	303
967	8891	293
968	8900	284
969	8909	275
970	8918	266
971	8927	257
972	8936	247
973	8945	238
974	8954	229
975	8963	220
976	8972	211
977	8981	202
978	8990	192
979	8998	183
980	9007	174
981	9019	165
982	9028	156
983	9037	146
984	9046	137
985	9056	128
986	9065	119
987	9074	110
988	9085	101
989	9095	91
990	9104	82
991	9113	73
992	9122	64
993	9131	55
994	9140	45
995	9149	36
996	9158	27
997	9167	18
998	9176	9
999	9185	0
